1: 692.534607, 692.534607 avg, 0.000000 rate, 2.318955 seconds, 64 images
2: 690.913574, 692.372498 avg, 0.000000 rate, 2.274965 seconds, 128 images
3: 690.837463, 692.218994 avg, 0.000000 rate, 2.245301 seconds, 192 images
4: 690.131836, 692.010254 avg, 0.000000 rate, 2.291229 seconds, 256 images
5: 693.844604, 692.193665 avg, 0.000000 rate, 2.281726 seconds, 320 images
6: 693.216736, 692.295959 avg, 0.000000 rate, 2.579983 seconds, 384 images
7: 692.659973, 692.332336 avg, 0.000000 rate, 2.382205 seconds, 448 images
8: 689.284607, 692.027588 avg, 0.000000 rate, 2.393371 seconds, 512 images
9: 688.247009, 691.649536 avg, 0.000000 rate, 2.433505 seconds, 576 images
10: 691.604797, 691.645081 avg, 0.000000 rate, 2.394044 seconds, 640 images
11: 583.066467, 680.787231 avg, 0.000000 rate, 2.130746 seconds, 704 images
12: 583.979187, 671.106445 avg, 0.000000 rate, 2.228166 seconds, 768 images
13: 580.903564, 662.086182 avg, 0.000000 rate, 2.206441 seconds, 832 images
14: 583.519409, 654.229492 avg, 0.000000 rate, 2.265642 seconds, 896 images
15: 583.242249, 647.130737 avg, 0.000000 rate, 2.127753 seconds, 960 images
16: 582.518860, 640.669556 avg, 0.000000 rate, 2.059603 seconds, 1024 images
17: 580.020874, 634.604675 avg, 0.000000 rate, 2.138162 seconds, 1088 images
18: 581.542053, 629.298401 avg, 0.000000 rate, 2.067275 seconds, 1152 images
19: 580.372131, 624.405762 avg, 0.000000 rate, 2.193287 seconds, 1216 images
20: 579.398132, 619.905029 avg, 0.000000 rate, 2.145284 seconds, 1280 images
21: 482.724640, 606.187012 avg, 0.000000 rate, 1.904843 seconds, 1344 images
22: 483.189880, 593.887329 avg, 0.000000 rate, 1.935623 seconds, 1408 images
23: 484.068756, 582.905457 avg, 0.000000 rate, 2.086567 seconds, 1472 images
24: 481.382050, 572.753113 avg, 0.000000 rate, 1.909569 seconds, 1536 images
25: 481.394196, 563.617249 avg, 0.000000 rate, 1.822768 seconds, 1600 images
26: 485.236176, 555.779114 avg, 0.000000 rate, 1.876013 seconds, 1664 images
27: 481.147125, 548.315918 avg, 0.000000 rate, 1.911940 seconds, 1728 images
28: 480.468445, 541.531189 avg, 0.000000 rate, 2.017243 seconds, 1792 images
29: 482.897766, 535.667847 avg, 0.000000 rate, 2.013271 seconds, 1856 images
30: 481.139923, 530.215027 avg, 0.000000 rate, 1.883486 seconds, 1920 images
31: 933.742065, 570.567749 avg, 0.000000 rate, 2.987923 seconds, 1984 images
32: 934.088257, 606.919800 avg, 0.000000 rate, 2.767446 seconds, 2048 images
33: 934.527161, 639.680542 avg, 0.000000 rate, 2.780088 seconds, 2112 images
34: 933.877319, 669.100220 avg, 0.000000 rate, 2.745688 seconds, 2176 images
35: 937.985107, 695.988708 avg, 0.000000 rate, 2.952411 seconds, 2240 images
36: 936.225647, 720.012390 avg, 0.000000 rate, 2.711233 seconds, 2304 images
37: 934.921387, 741.503296 avg, 0.000000 rate, 2.761647 seconds, 2368 images
38: 936.051453, 760.958130 avg, 0.000000 rate, 2.823668 seconds, 2432 images
39: 931.957275, 778.058044 avg, 0.000000 rate, 2.705411 seconds, 2496 images
40: 930.821899, 793.334412 avg, 0.000000 rate, 2.705909 seconds, 2560 images
41: 1215.461426, 835.547119 avg, 0.000000 rate, 3.210124 seconds, 2624 images
42: 1212.955078, 873.287903 avg, 0.000000 rate, 3.004836 seconds, 2688 images
